epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,483.975,0.53587,0.36578,0.83773,0.98684,0.9931,0.99458,0.76128,0.85291,0.47873,0.884,0.0008516,0.0008516,0.0008516
118,489.56,0.53248,0.3639,0.83849,0.98967,0.99151,0.99449,0.75766,0.87626,0.48134,0.87946,0.0008417,0.0008417,0.0008417
119,492.957,0.54405,0.37126,0.84099,0.98592,0.96575,0.99067,0.76894,0.85859,0.51519,0.87283,0.0008318,0.0008318,0.0008318
120,496.338,0.54231,0.37318,0.84668,0.97579,0.97294,0.99178,0.79137,0.75648,0.50255,0.86741,0.0008219,0.0008219,0.0008219
121,499.876,0.51615,0.35849,0.84096,0.99243,0.98276,0.99408,0.75013,0.92411,0.48012,0.87615,0.000812,0.000812,0.000812
122,504.886,0.52524,0.35622,0.8369,0.993,0.97892,0.99365,0.73754,0.97195,0.48486,0.88994,0.0008021,0.0008021,0.0008021
123,508.991,0.50928,0.35857,0.83929,0.98229,0.97241,0.99248,0.77634,0.85076,0.47112,0.87897,0.0007922,0.0007922,0.0007922
124,512.609,0.55114,0.36484,0.84254,0.97745,0.98276,0.99268,0.76456,0.87074,0.47703,0.88267,0.0007823,0.0007823,0.0007823
125,515.743,0.51206,0.35719,0.83859,0.9951,0.98276,0.99461,0.69159,1.10499,0.50011,0.89793,0.0007724,0.0007724,0.0007724
126,519.844,0.63738,0.39376,0.86475,0.99236,0.98276,0.99451,0.78781,0.82054,0.46017,0.88295,0.0007625,0.0007625,0.0007625
127,524.927,0.57788,0.38168,0.8452,0.98784,0.98025,0.99436,0.79532,0.84271,0.47796,0.91373,0.0007526,0.0007526,0.0007526
128,528.379,0.54328,0.36981,0.84207,0.99301,0.9791,0.99371,0.73213,0.96324,0.48393,0.89741,0.0007427,0.0007427,0.0007427
129,531.956,0.5647,0.37376,0.84595,0.99115,0.96503,0.99145,0.73106,0.93474,0.48372,0.88673,0.0007328,0.0007328,0.0007328
130,535.754,0.52042,0.35627,0.84199,0.97055,0.9659,0.99052,0.77068,0.82644,0.4785,0.88622,0.0007229,0.0007229,0.0007229
131,540.965,0.50372,0.34752,0.83399,0.97563,0.97414,0.99073,0.76352,0.85931,0.47407,0.87933,0.000713,0.000713,0.000713
132,545.065,0.54775,0.36677,0.8453,0.9843,0.97309,0.99194,0.76172,0.8675,0.48557,0.88054,0.0007031,0.0007031,0.0007031
133,548.309,0.51339,0.35735,0.83844,0.97937,0.97069,0.99139,0.77145,0.82694,0.47352,0.87103,0.0006932,0.0006932,0.0006932
134,551.66,0.51731,0.35748,0.835,0.97606,0.97069,0.98663,0.78222,0.82359,0.4646,0.86985,0.0006833,0.0006833,0.0006833
135,555.885,0.50386,0.3504,0.83644,0.98272,0.98276,0.98774,0.78435,0.83597,0.46629,0.87279,0.0006734,0.0006734,0.0006734
136,561.358,0.54515,0.36832,0.83487,0.99302,0.98169,0.98705,0.76393,0.87122,0.46385,0.87456,0.0006635,0.0006635,0.0006635
137,564.53,0.53828,0.36417,0.84194,0.99127,0.97852,0.99257,0.78729,0.77304,0.44316,0.86689,0.0006536,0.0006536,0.0006536
