epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,3206.68,1.52537,1.06331,1.08157,0.74681,0.61702,0.65513,0.24291,1.78434,1.36382,1.2271,0.0003566,0.0003566,0.0003566
168,3226.26,1.49929,1.03929,1.07214,0.74749,0.67709,0.68667,0.26974,1.73348,1.31898,1.21605,0.0003467,0.0003467,0.0003467
169,3245.16,1.52027,1.03883,1.07604,0.70784,0.63146,0.63373,0.26517,1.7886,1.29763,1.24743,0.0003368,0.0003368,0.0003368
170,3264.32,1.48548,1.05243,1.07569,0.77399,0.63755,0.68,0.27102,1.73672,1.32153,1.23094,0.0003269,0.0003269,0.0003269
171,3285.83,1.49548,1.04258,1.06117,0.68243,0.67021,0.68272,0.28849,1.68159,1.29422,1.17794,0.000317,0.000317,0.000317
172,3306.07,1.50339,1.04918,1.06823,0.71582,0.62974,0.6471,0.26695,1.71799,1.33423,1.20649,0.0003071,0.0003071,0.0003071
173,3325.66,1.50391,1.0604,1.07676,0.67825,0.64894,0.66535,0.27433,1.67703,1.28291,1.18261,0.0002972,0.0002972,0.0002972
174,3345.14,1.52327,1.03817,1.07755,0.69144,0.65957,0.65589,0.28221,1.6707,1.29457,1.1831,0.0002873,0.0002873,0.0002873
175,3364.36,1.49163,1.03711,1.06969,0.70278,0.62766,0.63408,0.27152,1.71489,1.30318,1.21,0.0002774,0.0002774,0.0002774
176,3383.62,1.46818,1.00382,1.06188,0.70044,0.64675,0.67089,0.27699,1.76848,1.30005,1.23496,0.0002675,0.0002675,0.0002675
177,3403.26,1.48992,1.00539,1.05867,0.6805,0.68617,0.65116,0.28456,1.70987,1.24114,1.20707,0.0002576,0.0002576,0.0002576
178,3423.86,1.48771,1.00378,1.06474,0.69398,0.66344,0.61981,0.27325,1.74186,1.26744,1.23074,0.0002477,0.0002477,0.0002477
179,3444.18,1.48063,1.01715,1.06096,0.70477,0.6603,0.6533,0.26852,1.76348,1.27308,1.2491,0.0002378,0.0002378,0.0002378
180,3463.85,1.49276,1.02006,1.06747,0.71102,0.64894,0.65779,0.2767,1.71465,1.28151,1.22544,0.0002279,0.0002279,0.0002279
